Diet,HF/CD,CD,HF
HMDB08856,-0.164576404,1170.527,1044.333
HMDB03213,-0.164061232,2559.956,2284.784
HMDB12315,-0.163375977,12800.41,11429.91
HMDB08326,-0.163375977,12800.41,11429.91
HMDB00285,-0.163087313,2950.335,2634.979
HMDB01830,-0.162573506,665.2975,594.3967
HMDB04083,-0.162083251,2725.866,2436.198
HMDB07892,-0.162048462,4308.359,3850.618
HMDB01491,-0.161335804,5800.691,5186.959
HMDB60367,-0.161335804,5800.691,5186.959
HMDB08086,-0.160748449,1633.293,1461.08
HMDB06547,-0.159352266,1724.231,1543.923
HMDB03337,-0.158039231,18544.46,16620.33
HMDB01178,-0.157129643,4134.935,3708.241
HMDB07877,-0.156941363,10456.929,9379.077
HMDB06865,-0.156617283,1379.388,1237.485
HMDB00195,-0.156488095,6876.424,6169.572
HMDB00124,-0.155859519,10768.97,9666.2
HMDB00638,-0.154447575,10310.858,9264.062
HMDB10165,-0.154274978,9176.082,8245.479
HMDB00288,-0.153398914,22595.84,20316.59
HMDB08026,-0.152946125,1399.589,1258.807
HMDB14440,-0.152753876,119425.8,107427.3
HMDB07962,-0.152746884,13824.67,12435.79
HMDB01339,-0.152597481,1341.706,1207.038
HMDB08819,-0.152345855,1931.71,1738.126
HMDB00058,-0.152175635,44736.35,40257.9
HMDB01534,-0.15159767,1388.011,1249.561
HMDB00999,-0.151584894,1634.956,1471.887
HMDB09244,-0.151331816,1388.285,1250.038
HMDB00538,-0.15107305,10893.584,9810.548
HMDB01373,-0.15047921,1824.948,1644.189
HMDB03553,-0.149727913,1440.106,1298.141
HMDB03337,-0.149504116,63099.64,56888.13
HMDB07890,-0.149345872,4846.828,4370.187
HMDB03533,-0.148673136,4678.337,4220.233
HMDB07887,-0.147871916,4397.339,3968.954
HMDB35030,-0.147222917,1783.008,1610.033
HMDB03966,-0.14661423,4656.989,4206.975
HMDB01383,-0.146130586,2182.228,1972.016
HMDB03357,-0.146011228,2946.237,2662.649
HMDB08321,-0.145491923,2642.31,2388.836
HMDB07894,-0.144924144,1531.603,1385.223
HMDB60464,-0.141430601,1429.07,1295.623
HMDB00098,-0.140904034,7191.163,6522.03
HMDB00696,-0.140904034,7191.163,6522.03
HMDB00968,-0.140790488,3946.688,3579.733
HMDB60656,-0.139469614,752.962,683.5787
HMDB03337,-0.139389245,16137.3,14651.11
HMDB08454,-0.139104966,2377.911,2159.339
HMDB00048,-0.138533729,2158.5,1960.872
HMDB08023,-0.13771765,11346.93,10313.86
HMDB00253,-0.137603537,545.288,495.682
HMDB14900,-0.136679009,1129.491,1027.397
HMDB00024,-0.135688665,2408.172,2192.003
HMDB00195,-0.135604596,543632.4,494862.2
HMDB01852,-0.135310855,1183.171,1077.246
HMDB34934,-0.135196255,1477.049,1344.921
HMDB00125,-0.134777358,3927419,3577134
HMDB06709,-0.134580892,940.9146,857.1115
HMDB60326,-0.13434486,2093.514,1907.366
HMDB08621,-0.133256461,3345.864,3050.662
HMDB08292,-0.133256461,3345.864,3050.662
HMDB00405,-0.13253418,3917.111,3573.297
HMDB03235,-0.132093491,1674.293,1527.803
HMDB07893,-0.131957112,1494.725,1364.075
HMDB00131,-0.130995727,4635.604,4233.238
HMDB02579,-0.130672454,2161.872,1974.666
HMDB01179,-0.130075693,2606.601,2381.869
HMDB00618,-0.130005404,42254.69,38613.52
HMDB12177,-0.129966159,1078.62,985.7
HMDB00285,-0.129618077,3790.875,3465.138
HMDB02190,-0.129542599,858.75,785.0016
HMDB02190,-0.129370183,2025.498,1851.772
HMDB03556,-0.129167061,2709.071,2477.064
HMDB00037,-0.129165607,2469.714,2258.208
HMDB03337,-0.128847367,4907.655,4488.354
HMDB07991,-0.128847136,11653.01,10657.4
HMDB03337,-0.128841065,9254.085,8463.47
HMDB10368,-0.128643912,868.1962,794.1311
HMDB07850,-0.128163202,5074.223,4642.892
HMDB01198,-0.127662424,1698.071,1554.267
HMDB06254,-0.127585191,10624.275,9725.061
HMDB06254,-0.126067303,3027.699,2774.359
HMDB00125,-0.125834801,376345.6,344910.8
HMDB00968,-0.125609654,5404.698,4954.036
HMDB00195,-0.125294401,56398.86,51707.43
HMDB01372,-0.125135184,2135.568,1958.141
HMDB07894,-0.124484785,1865.15,1710.961
HMDB00070,-0.124054254,629.7753,577.8852
HMDB10408,-0.123880782,933.894,857.0492
HMDB12315,-0.123195745,6557.402,6020.689
HMDB09508,-0.122958096,3850.562,3535.982
HMDB11118,-0.122676319,1420.696,1304.884
HMDB00097,-0.122124832,3174.014,2916.39
HMDB07890,-0.121685432,11314.34,10399.16
HMDB00077,-0.120733261,1538.28,1414.787
HMDB10397,-0.120440807,2007.617,1846.82
HMDB10401,-0.120077502,861.7326,792.9131
HMDB60520,-0.119430973,1336.21,1230.049
HMDB06953,-0.119391733,1736.597,1598.669
HMDB32208,-0.119043318,3121.312,2874.098
HMDB00288,-0.118502293,19895.36,18326.48
HMDB00641,-0.118215052,34088.5,31406.65
HMDB04952,-0.117853118,1007.5649,928.5295
HMDB09476,-0.117577901,9639.592,8885.138
HMDB00072,-0.117072175,35331.07,32577.26
HMDB00292,-0.117072175,35331.07,32577.26
HMDB60520,-0.116864711,1310.326,1208.369
HMDB00290,-0.116589167,156294.4,144160.6
HMDB06790,-0.116408999,12529.95,11558.64
HMDB06809,-0.116277056,3847.074,3549.177
HMDB01059,-0.116027313,2447.377,2258.256
HMDB01206,-0.115449251,3022.111,2789.695
HMDB00158,-0.115218123,5220.195,4819.507
HMDB01449,-0.114862506,954.9066,881.8279
HMDB00972,-0.114855655,1086.804,1003.636
HMDB08858,-0.114066425,989.7294,914.4902
HMDB04029,-0.113722245,1530.432,1414.426
HMDB61086,-0.113722245,1530.432,1414.426
HMDB05780,-0.113704991,53974.84,49884.17
HMDB07875,-0.113704991,53974.84,49884.17
HMDB00965,-0.11360277,1436.222,1327.467
HMDB00123,-0.113054528,14233.73,13160.91
HMDB04158,-0.112988059,1492.85,1380.395
HMDB10350,-0.112509547,2654.13,2455.011
HMDB04957,-0.112432029,1228.155,1136.077
HMDB07901,-0.112244941,1014.1123,938.2033
HMDB10395,-0.112076301,2975.63,2753.218
HMDB02815,-0.112076301,2975.63,2753.218
HMDB00279,-0.111912356,6251.005,5784.434
HMDB00263,-0.111818511,1619.152,1498.397
HMDB02092,-0.111818511,1619.152,1498.397
HMDB10319,-0.111636866,113094.3,104673
HMDB00125,-0.111636866,113094.3,104673
HMDB07889,-0.111506483,15816.16,14639.77
HMDB00714,-0.111240545,1832.597,1696.603
HMDB00714,-0.111088422,5518.324,5109.357
HMDB01866,-0.111036373,5051.465,4677.266
HMDB02012,-0.111033553,3013.479,2790.254
HMDB00077,-0.110814824,541.8291,501.7689
HMDB05383,-0.110693525,3355.256,3107.446
HMDB01134,-0.110061083,6962.476,6451.074
HMDB08951,-0.109202613,1127.975,1045.746
HMDB02829,-0.108316355,1320.573,1225.056
HMDB12458,-0.108316355,1320.573,1225.056
HMDB07879,-0.107969611,7823.473,7259.346
HMDB08257,-0.107326257,1789.419,1661.13
HMDB08850,-0.106264662,946.5839,879.3672
HMDB00263,-0.106182575,6577.584,6110.859
HMDB02579,-0.105828389,1652.566,1535.682
HMDB60520,-0.105819508,1349.503,1254.062
HMDB11747,-0.105260588,1670.381,1552.848
HMDB07851,-0.105190983,3526.288,3278.326
HMDB00510,-0.105045972,3146.002,2925.075
HMDB07949,-0.104718552,738904.5,687171.1
HMDB00190,-0.104690997,28366.81,26381.25
HMDB01155,-0.104406356,1255.465,1167.818
HMDB08090,-0.104216444,37366.09,34762.05
HMDB01190,-0.104191677,1558.215,1449.648
HMDB09707,-0.103445312,1879.856,1749.784
HMDB07949,-0.103346325,308686.7,287347.6
HMDB07886,-0.102878613,2049.593,1908.526
HMDB06558,-0.102507678,17798.17,16577.44
HMDB11676,-0.10249154,22244.64,20719.17
HMDB00126,-0.102395516,34920.98,32528.37
HMDB00538,-0.101869399,32071.33,29884.86
